symbol,overall_score,health_label
ADANIENSOL,50,AVERAGE
ADANIENT,50,AVERAGE
ADANIGREEN,50,AVERAGE
ADANIPORTS,50,AVERAGE
ADANIPOWER,50,AVERAGE
AMBUJACEM,50,AVERAGE
APOLLOHOSP,50,AVERAGE
ASIANPAINT,50,AVERAGE
ATGL,50,AVERAGE
AXISBANK,50,AVERAGE
BAJAJ-AUTO,50,AVERAGE
BAJAJFINSV,50,AVERAGE
BAJAJHLDNG,50,AVERAGE
BAJFINANCE,50,AVERAGE
BANKBARODA,50,AVERAGE
BEL,50,AVERAGE
BHARTIARTL,50,AVERAGE
BHEL,50,AVERAGE
BOSCHLTD,50,AVERAGE
BPCL,50,AVERAGE
BRITANNIA,50,AVERAGE
CANBK,50,AVERAGE
CHOLAFIN,50,AVERAGE
CIPLA,50,AVERAGE
COALINDIA,50,AVERAGE
DABUR,50,AVERAGE
DIVISLAB,50,AVERAGE
DLF,50,AVERAGE
DMART,50,AVERAGE
DRREDDY,50,AVERAGE
EICHERMOT,50,AVERAGE
GAIL,50,AVERAGE
GODREJCP,50,AVERAGE
GRASIM,50,AVERAGE
HAL,50,AVERAGE
HAVELLS,50,AVERAGE
INDUSINDBK,50,AVERAGE
HCLTECH,50,AVERAGE
HDFCBANK,50,AVERAGE
HDFCLIFE,50,AVERAGE
HEROMOTOCO,50,AVERAGE
HINDALCO,50,AVERAGE
HINDUNILVR,50,AVERAGE
ICICIBANK,50,AVERAGE
ICICIGI,50,AVERAGE
ICICIPRULI,50,AVERAGE
INDIGO,50,AVERAGE
INFY,50,AVERAGE
IOC,50,AVERAGE
IRCTC,50,AVERAGE
IRFC,50,AVERAGE
ITC,50,AVERAGE
JINDALSTEL,50,AVERAGE
JIOFIN,50,AVERAGE
JSWENERGY,50,AVERAGE
JSWSTEEL,50,AVERAGE
KOTAKBANK,50,AVERAGE
LICI,50,AVERAGE
LODHA,50,AVERAGE
LT,50,AVERAGE
LTIM,50,AVERAGE
M&M,50,AVERAGE
MARUTI,50,AVERAGE
MOTHERSON,50,AVERAGE
NAUKRI,50,AVERAGE
NESTLEIND,50,AVERAGE
NHPC,50,AVERAGE
NTPC,50,AVERAGE
ONGC,50,AVERAGE
PFC,50,AVERAGE
PIDILITIND,50,AVERAGE
PNB,50,AVERAGE
POWERGRID,50,AVERAGE
RECLTD,50,AVERAGE
RELIANCE,50,AVERAGE
SBILIFE,50,AVERAGE
SBIN,50,AVERAGE
SHREECEM,50,AVERAGE
SHRIRAMFIN,50,AVERAGE
SIEMENS,50,AVERAGE
SUNPHARMA,50,AVERAGE
TATACONSUM,50,AVERAGE
TATAMOTORS,50,AVERAGE
TATAPOWER,50,AVERAGE
TATASTEEL,50,AVERAGE
TCS,50,AVERAGE
TECHM,50,AVERAGE
TITAN,50,AVERAGE
TORNTPHARM,50,AVERAGE
TRENT,50,AVERAGE
TVSMOTOR,50,AVERAGE
